"grand theft parsons (2003)","17"
"the affair of the necklace (2001)","17"
"pay it forward (2000)","17"
"where the wild things are (2009)","17"
"the rocker (2008)","17"
"the commission (2003)","17"
"along came a spider (2001)","17"
"babel (2006)","17"
"in the bedroom (2001)","17"
"scoop (2006)","17"
"the tailor of panama (2001)","17"
"you kill me (2007)","17"
"demoted (2009)","17"
"shoot 'em up (2007)","17"
"just friends (2005)","17"
"open range (2003)","17"
"p.s. i love you (2007)","17"
"avatar (2009)","17"
"little children (2006)","17"
"death race (2008)","17"
"space cowboys (2000)","17"
"interstate 60: episodes of the road (2002)","17"
"memento (2000)","17"
"the prize winner of defiance, ohio (2005)","17"
"american cowslip (2009)","17"
"the rundown (2003)","17"
"don mckay (2009)","17"
"american psycho (2000)","17"
"van wilder (2002)","17"
"amazing grace (2006)","17"
"clerks ii (2006)","17"
"swing vote (2008)","17"
"miracle (2004)","17"
"the cake eaters (2007)","17"
"300 (2006)","17"
"where the heart is (2000)","17"
"after.life (2009)","17"
"alfie (2004)","17"
"the great raid (2005)","17"
"man in the chair (2007)","17"
"the lookout (2007)","17"
"sidewalks of new york (2001)","17"
"auggie rose (2000)","17"
"pipe dream (2002)","17"
"proof (2005)","17"
"war (2007)","17"
"then she found me (2007)","17"
"wonderful world (2009)","17"
"repo men (2010)","17"
"the guitar (2008)","17"
"you can count on me (2000)","17"
"the go-getter (2007)","17"
"harsh times (2005)","17"
"lions for lambs (2007)","17"
"dancer in the dark (2000)","17"
"quarantine (2008)","17"
"human nature (2001)","17"
"a history of violence (2005)","17"
"finding forrester (2000)","17"
"cyberworld (2000)","16"
"coffee and cigarettes (2003)","16"
"lilo & stitch (2002)","16"
"mattie fresno and the holoflux universe (2007)","16"
"stark raving mad (2002)","16"
"unforgivable blackness: the rise and fall of jack johnson (2004)","16"
"defendor (2009)","16"
"welcome to collinwood (2002)","16"
"crank (2006)","16"
"charlie and the chocolate factory (2005)","16"
"tinker bell and the lost treasure (2009)","16"
"mulholland dr. (2001)","16"
"from hell (2001)","16"
"humboldt county (2008)","16"
"just peck (2009)","16"
"the polar express (2004)","16"
"the boat that rocked (2009)","15"
"the chronicles of narnia: the lion, the witch and the wardrobe (2005)","15"
"1408 (2007)","15"
"hot tub time machine (2010)","15"
"dan in real life (2007)","15"
"kissing jessica stein (2001)","15"
"about schmidt (2002)","15"
"the road (2009)","15"
"around the bend (2004)","15"
"good dick (2008)","15"
"series 7: the contenders (2001)","15"
"diggers (2006)","15"
"touching home (2008)","15"
"the young victoria (2009)","15"
"all the real girls (2003)","15"
"otis e. (2009)","15"
"where god left his shoes (2007)","15"
"dummy (2002)","15"
"the narrows (2008)","15"
"come early morning (2006)","15"
"wicker park (2004)","15"
"once upon a time in mexico (2003)","15"
"the civilization of maxwell bright (2005)","15"
"what we do is secret (2007)","15"
"the cooler (2003)","15"
"right at your door (2006)","15"
"two weeks (2006)","15"
"the good heart (2009)","15"
"one hour photo (2002)","15"
"planet 51 (2009)","15"
"slither (2006)","15"
"frequency (2000)","15"
"killer diller (2004)","15"
"seeing other people (2004)","15"
"veronika decides to die (2009)","15"
"dunsmore (2003)","15"
"lonesome jim (2005)","15"
"whip it (2009)","15"
"green zone (2010)","15"
"feast of love (2007)","15"
"eight below (2006)","15"
"a serious man (2009)","15"
"half nelson (2006)","15"
"miss pettigrew lives for a day (2008)","15"
"final destination 2 (2003)","15"
"undermind (2003)","15"
"no such thing (2001)","15"
"junebug (2005)","15"
"zack and miri make a porno (2008)","15"
"other voices (2000)","15"
"10 items or less (2006)","15"
"the last lullaby (2008)","15"
"the groomsmen (2006)","15"
"juno (2007)","15"
"i could never be your woman (2007)","15"
"blow dry (2001)","15"
"bernard and doris (2006)","15"
"the savages (2007)","15"
"the merchant of venice (2004)","15"
"pieces of april (2003)","15"
"the rising place (2001)","15"
"phoebe in wonderland (2008)","15"
"the crazies (2010)","15"
"a good year (2006)","15"
"the lost city (2005)","15"
"better luck tomorrow (2002)","15"
"punch-drunk love (2002)","15"
"king arthur (2004)","15"
"twelve and holding (2005)","15"
"tom cool (2009)","15"
"a home at the end of the world (2004)","15"
"cypher (2002)","15"
"shannon's rainbow (2009)","15"
"bamboozled (2000)","15"
"watching the detectives (2007)","15"
"shrek 4-d (2003)","15"
"lakeview terrace (2008)","15"
"last chance harvey (2008)","15"
"wanted (2008)","15"
"a single man (2009)","15"
"shattered glass (2003)","15"
"sweeney todd: the demon barber of fleet street (2007)","15"
"day zero (2007)","15"
"who is cletis tout? (2001)","15"
"crazy/beautiful (2001)","15"
"one night at mccool's (2001)","15"
"hidalgo (2004)","15"
"gracie (2007)","15"
"the last samurai (2003)","15"
"life during wartime (2009)","15"
"tuck everlasting (2002)","15"
"jack goes boating (2010)","15"
"the woodsman (2004)","15"
